Time,Distance,Bank,Error_Distance,Heading_Error,Tangent_Direction,Speed,Circle_Direction,Heading,Bearing_to_Plane
1745437277.2511127,67.47918638679648,-29.80082970779775,-7.520813613203515,153.90342143681255,237.90342143681255,9.107963562011719,CCW,84,147.90342143681255
1745437277.3017914,67.47918638679648,-29.860580795458425,-7.520813613203515,153.90342143681255,237.90342143681255,9.107963562011719,CCW,84,147.90342143681255
1745437277.3526309,67.47918638679648,-29.902406556820896,-7.520813613203515,153.90342143681255,237.90342143681255,9.107963562011719,CCW,84,147.90342143681255
1745437277.403818,67.47918638679648,-29.931684589774626,-7.520813613203515,153.90342143681255,237.90342143681255,9.107963562011719,CCW,84,147.90342143681255
1745437277.4544785,67.47918638679648,-29.952179212842236,-7.520813613203515,153.90342143681255,237.90342143681255,9.107963562011719,CCW,84,147.90342143681255
1745437277.5052211,67.89752928385548,-29.966525448989564,-7.1024707161445235,150.94545409729784,235.94545409729784,9.078777313232422,CCW,85,145.94545409729784
1745437277.5558896,67.89752928385548,-29.976567814292693,-7.1024707161445235,150.94545409729784,235.94545409729784,9.078777313232422,CCW,85,145.94545409729784
1745437277.6069684,67.89752928385548,-29.983597470004884,-7.1024707161445235,150.94545409729784,235.94545409729784,9.078777313232422,CCW,85,145.94545409729784
1745437277.657969,67.89752928385548,-29.988518229003418,-7.1024707161445235,150.94545409729784,235.94545409729784,9.078777313232422,CCW,85,145.94545409729784
1745437277.7086284,67.89752928385548,-29.991962760302393,-7.1024707161445235,150.94545409729784,235.94545409729784,9.078777313232422,CCW,85,145.94545409729784
1745437277.7601068,68.26022866654525,-29.994373932211673,-6.739771333454755,150.18471031185072,234.18471031185072,8.959458351135254,CCW,84,144.18471031185072
1745437277.8110943,68.26022866654525,-29.99606175254817,-6.739771333454755,150.18471031185072,234.18471031185072,8.959458351135254,CCW,84,144.18471031185072
1745437277.8625817,68.26022866654525,-29.997243226783716,-6.739771333454755,150.18471031185072,234.18471031185072,8.959458351135254,CCW,84,144.18471031185072
